request_id,client_id,send_ts,receive_ts,latency_ms,success,error
620,3,1777406093.548471,1777406094.087480,539.008,1,
621,3,1777406094.087522,1777406094.594929,507.407,1,
20,0,1777406094.494291,1777406094.978691,484.399,1,
622,3,1777406094.595010,1777406095.099837,504.826,1,
1020,5,1777406094.874564,1777406095.391033,516.468,1,
21,0,1777406094.978736,1777406095.487681,508.945,1,
420,2,1777406095.040518,1777406095.544953,504.434,1,
623,3,1777406095.099877,1777406095.605831,505.953,1,
1220,6,1777406095.155152,1777406095.654044,498.891,1,
1620,8,1777406095.204056,1777406095.698254,494.197,1,
1420,7,1777406095.248928,1777406095.740107,491.178,1,
220,1,1777406095.307135,1777406095.785900,478.763,1,
1820,9,1777406095.353272,1777406095.849806,496.533,1,
1021,5,1777406095.391073,1777406095.900956,509.882,1,
820,4,1777406095.438246,1777406095.958004,519.756,1,
22,0,1777406095.487721,1777406096.007168,519.446,1,
421,2,1777406095.545025,1777406096.064211,519.185,1,
624,3,1777406095.605870,1777406096.118749,512.878,1,
1221,6,1777406095.654083,1777406096.165089,511.004,1,
1621,8,1777406095.698303,1777406096.225097,526.793,1,
1421,7,1777406095.740149,1777406096.270465,530.315,1,
221,1,1777406095.785936,1777406096.316145,530.208,1,
1821,9,1777406095.849848,1777406096.365312,515.463,1,
1022,5,1777406095.901028,1777406096.406000,504.971,1,
821,4,1777406095.958044,1777406096.458643,500.598,1,
23,0,1777406096.007209,1777406096.498534,491.324,1,
422,2,1777406096.064270,1777406096.543206,478.935,1,
625,3,1777406096.118789,1777406096.603717,484.926,1,
1222,6,1777406096.165160,1777406096.644640,479.479,1,
1622,8,1777406096.225148,1777406096.696088,470.940,1,
1422,7,1777406096.270509,1777406096.761122,490.612,1,
222,1,1777406096.316186,1777406096.801208,485.020,1,
1822,9,1777406096.365363,1777406096.850757,485.393,1,
1023,5,1777406096.406042,1777406096.899236,493.193,1,
822,4,1777406096.458688,1777406096.944059,485.371,1,
24,0,1777406096.498601,1777406096.978923,480.320,1,
423,2,1777406096.543249,1777406097.087647,544.397,1,
626,3,1777406096.603762,1777406097.148561,544.798,1,
1223,6,1777406096.644677,1777406097.199043,554.365,1,
1623,8,1777406096.696127,1777406097.253584,557.456,1,
1423,7,1777406096.761160,1777406097.309190,548.028,1,
223,1,1777406096.801246,1777406097.355820,554.573,1,
1823,9,1777406096.850798,1777406097.408835,558.036,1,
1024,5,1777406096.899284,1777406097.469393,570.107,1,
823,4,1777406096.944099,1777406097.520094,575.994,1,
25,0,1777406096.978962,1777406097.041075,62.111,1,
26,0,1777406097.041115,1777406097.578007,536.891,1,
424,2,1777406097.087686,1777406097.633641,545.955,1,
627,3,1777406097.148603,1777406097.689045,540.442,1,
1224,6,1777406097.199084,1777406097.736137,537.052,1,
1624,8,1777406097.253633,1777406097.780284,526.649,1,
1424,7,1777406097.309230,1777406097.838747,529.516,1,
224,1,1777406097.355856,1777406097.898396,542.539,1,
1824,9,1777406097.408873,1777406097.955594,546.720,1,
1025,5,1777406097.469438,1777406098.011247,541.807,1,
824,4,1777406097.520134,1777406098.068910,548.776,1,
27,0,1777406097.578047,1777406098.123961,545.913,1,
425,2,1777406097.633680,1777406098.184200,550.519,1,
628,3,1777406097.689092,1777406098.238246,549.153,1,
1225,6,1777406097.736176,1777406098.294863,558.686,1,
1625,8,1777406097.780332,1777406098.350945,570.612,1,
1425,7,1777406097.838786,1777406098.399657,560.870,1,
225,1,1777406097.898434,1777406098.450170,551.735,1,
1825,9,1777406097.955633,1777406098.491843,536.209,1,
1026,5,1777406098.011295,1777406098.546865,535.568,1,
825,4,1777406098.068950,1777406098.602515,533.564,1,
28,0,1777406098.124051,1777406098.661515,537.463,1,
426,2,1777406098.184237,1777406098.702909,518.671,1,
629,3,1777406098.238285,1777406098.762312,524.027,1,
1226,6,1777406098.294902,1777406098.815150,520.247,1,
1626,8,1777406098.351019,1777406098.862005,510.944,1,
1426,7,1777406098.399696,1777406098.901932,502.236,1,
226,1,1777406098.450205,1777406098.951347,501.141,1,
1826,9,1777406098.491891,1777406099.006958,515.065,1,
