request_id,client_id,send_ts,receive_ts,latency_ms,success,error
20,0,1777335413.941183,1777335414.064434,123.246,1,
21,0,1777335414.064506,1777335414.164795,100.285,1,
22,0,1777335414.164864,1777335414.272161,107.293,1,
23,0,1777335414.272218,1777335414.381424,109.199,1,
24,0,1777335414.381492,1777335414.479776,98.279,1,
25,0,1777335414.479833,1777335414.584969,105.130,1,
26,0,1777335414.585025,1777335414.739591,154.562,1,
27,0,1777335414.739651,1777335414.844400,104.745,1,
28,0,1777335414.844457,1777335414.948299,103.837,1,
29,0,1777335414.948362,1777335415.056695,108.328,1,
30,0,1777335415.056752,1777335415.164031,107.275,1,
31,0,1777335415.164086,1777335415.269635,105.543,1,
32,0,1777335415.269698,1777335415.372547,102.839,1,
33,0,1777335415.372607,1777335415.477839,105.226,1,
34,0,1777335415.477900,1777335415.582017,104.112,1,
35,0,1777335415.582076,1777335415.683364,101.284,1,
36,0,1777335415.683412,1777335415.794062,110.646,1,
37,0,1777335415.794114,1777335415.943268,149.149,1,
38,0,1777335415.943327,1777335416.051982,108.651,1,
39,0,1777335416.052015,1777335416.160051,108.030,1,
40,0,1777335416.160111,1777335416.268075,107.950,1,
41,0,1777335416.268138,1777335416.379556,111.413,1,
42,0,1777335416.379608,1777335416.482679,103.067,1,
43,0,1777335416.482737,1777335416.587397,104.656,1,
44,0,1777335416.587463,1777335416.739697,152.229,1,
45,0,1777335416.739762,1777335416.841072,101.308,1,
46,0,1777335416.841096,1777335416.943564,102.467,1,
47,0,1777335416.943577,1777335417.048004,104.423,1,
48,0,1777335417.048064,1777335417.152932,104.863,1,
49,0,1777335417.152992,1777335417.260181,107.186,1,
50,0,1777335417.260239,1777335417.365572,105.328,1,
51,0,1777335417.365633,1777335417.469529,103.889,1,
52,0,1777335417.469590,1777335417.570327,100.730,1,
53,0,1777335417.570386,1777335417.672315,101.924,1,
54,0,1777335417.672368,1777335417.764063,91.690,1,
55,0,1777335417.764121,1777335417.869550,105.423,1,
56,0,1777335417.869607,1777335417.966225,96.614,1,
57,0,1777335417.966281,1777335418.067818,101.533,1,
58,0,1777335418.067849,1777335418.183555,115.701,1,
59,0,1777335418.183609,1777335418.276435,92.821,1,
60,0,1777335418.276497,1777335418.370500,93.999,1,
61,0,1777335418.370555,1777335418.465228,94.668,1,
62,0,1777335418.465295,1777335418.568462,103.163,1,
63,0,1777335418.568518,1777335418.670030,101.508,1,
64,0,1777335418.670085,1777335418.773729,103.639,1,
65,0,1777335418.773785,1777335418.864705,90.915,1,
66,0,1777335418.864767,1777335418.968378,103.606,1,
67,0,1777335418.968434,1777335419.070175,101.735,1,
68,0,1777335419.070231,1777335419.171344,101.108,1,
69,0,1777335419.171407,1777335419.270378,98.967,1,
70,0,1777335419.270435,1777335419.367024,96.584,1,
71,0,1777335419.367073,1777335419.469125,102.047,1,
72,0,1777335419.469182,1777335419.569228,100.041,1,
73,0,1777335419.569281,1777335419.669582,100.296,1,
74,0,1777335419.669639,1777335419.766991,97.347,1,
75,0,1777335419.767051,1777335419.871285,104.229,1,
76,0,1777335419.871342,1777335419.967935,96.588,1,
77,0,1777335419.967983,1777335420.076192,108.203,1,
78,0,1777335420.076226,1777335420.172748,96.517,1,
79,0,1777335420.172805,1777335420.268589,95.778,1,
80,0,1777335420.268655,1777335420.371688,103.029,1,
81,0,1777335420.371747,1777335420.469133,97.383,1,
82,0,1777335420.469192,1777335420.570430,101.232,1,
83,0,1777335420.570490,1777335420.665958,95.464,1,
84,0,1777335420.666016,1777335420.763246,97.225,1,
